22:28:06 : Epoch: 1
22:28:33 : Epoch: 1
22:28:55 : Epoch: 1
22:29:16 : Epoch: 1
22:30:32 : Epoch: 1
22:30:53 : Epoch: 1
22:31:24 : Epoch: 1
22:31:51 : Epoch: 1
22:32:48 : Epoch: 1
22:33:09 : Epoch: 1
22:36:23 : Epoch: 1
22:37:12 : Epoch: 1
22:39:02 : Epoch: 1
22:42:29 : Epoch 0001 | Step 0930 / 2968 | Loss 1.4066 | Time 206.5682
22:42:30 : Epoch 0001 | Step 0935 / 2968 | Loss 1.4043 | Time 207.6635
22:42:31 : Epoch 0001 | Step 0940 / 2968 | Loss 1.4019 | Time 208.7549
22:42:32 : Epoch 0001 | Step 0945 / 2968 | Loss 1.3997 | Time 209.8432
22:42:33 : Epoch 0001 | Step 0950 / 2968 | Loss 1.3988 | Time 210.9345
22:42:34 : Epoch 0001 | Step 0955 / 2968 | Loss 1.3981 | Time 212.0218
22:42:35 : Epoch 0001 | Step 0960 / 2968 | Loss 1.3958 | Time 213.1230
22:42:36 : Epoch 0001 | Step 0965 / 2968 | Loss 1.3943 | Time 214.2094
22:42:38 : Epoch 0001 | Step 0970 / 2968 | Loss 1.3922 | Time 215.3086
22:42:39 : Epoch 0001 | Step 0975 / 2968 | Loss 1.3913 | Time 216.3931
22:42:40 : Epoch 0001 | Step 0980 / 2968 | Loss 1.3887 | Time 217.4965
22:42:41 : Epoch 0001 | Step 0985 / 2968 | Loss 1.3871 | Time 218.5919
22:42:42 : Epoch 0001 | Step 0990 / 2968 | Loss 1.3859 | Time 219.6792
22:42:43 : Epoch 0001 | Step 0995 / 2968 | Loss 1.3837 | Time 220.7664
22:42:44 : Epoch 0001 | Step 1000 / 2968 | Loss 1.3822 | Time 221.8593
22:42:45 : Epoch 0001 | Step 1005 / 2968 | Loss 1.3819 | Time 222.9445
22:42:46 : Epoch 0001 | Step 1010 / 2968 | Loss 1.3799 | Time 224.0308
22:42:47 : Epoch 0001 | Step 1015 / 2968 | Loss 1.3780 | Time 225.1270
22:42:48 : Epoch 0001 | Step 1020 / 2968 | Loss 1.3752 | Time 226.2172
22:42:50 : Epoch 0001 | Step 1025 / 2968 | Loss 1.3735 | Time 227.3035
22:42:51 : Epoch 0001 | Step 1030 / 2968 | Loss 1.3722 | Time 228.3917
22:42:52 : Epoch 0001 | Step 1035 / 2968 | Loss 1.3700 | Time 229.4960
22:42:53 : Epoch 0001 | Step 1040 / 2968 | Loss 1.3692 | Time 230.5962
22:42:54 : Epoch 0001 | Step 1045 / 2968 | Loss 1.3676 | Time 231.7015
22:42:55 : Epoch 0001 | Step 1050 / 2968 | Loss 1.3660 | Time 232.8287
22:42:56 : Epoch 0001 | Step 1055 / 2968 | Loss 1.3652 | Time 233.9385
22:42:57 : Epoch 0001 | Step 1060 / 2968 | Loss 1.3645 | Time 235.0583
22:42:58 : Epoch 0001 | Step 1065 / 2968 | Loss 1.3638 | Time 236.1535
