23:55:15 : Epoch: 1
01:15:03 : Epoch 0001 | Step 0655 / 2968 | Loss 1.4884 | Time 163.8869
01:15:04 : Epoch 0001 | Step 0660 / 2968 | Loss 1.4878 | Time 165.1292
01:15:06 : Epoch 0001 | Step 0665 / 2968 | Loss 1.4876 | Time 166.3705
01:15:07 : Epoch 0001 | Step 0670 / 2968 | Loss 1.4871 | Time 167.6038
01:15:08 : Epoch 0001 | Step 0675 / 2968 | Loss 1.4870 | Time 168.8461
01:15:09 : Epoch 0001 | Step 0680 / 2968 | Loss 1.4862 | Time 170.0843
01:15:11 : Epoch 0001 | Step 0685 / 2968 | Loss 1.4852 | Time 171.3406
01:15:12 : Epoch 0001 | Step 0690 / 2968 | Loss 1.4844 | Time 172.5859
01:15:13 : Epoch 0001 | Step 0695 / 2968 | Loss 1.4843 | Time 173.8242
01:15:14 : Epoch 0001 | Step 0700 / 2968 | Loss 1.4838 | Time 175.0795
01:15:16 : Epoch 0001 | Step 0705 / 2968 | Loss 1.4828 | Time 176.3277
01:15:17 : Epoch 0001 | Step 0710 / 2968 | Loss 1.4831 | Time 177.5830
01:15:18 : Epoch 0001 | Step 0715 / 2968 | Loss 1.4832 | Time 178.8373
01:15:19 : Epoch 0001 | Step 0720 / 2968 | Loss 1.4827 | Time 180.0746
01:15:21 : Epoch 0001 | Step 0725 / 2968 | Loss 1.4824 | Time 181.3169
01:15:22 : Epoch 0001 | Step 0730 / 2968 | Loss 1.4821 | Time 182.5641
01:15:23 : Epoch 0001 | Step 0735 / 2968 | Loss 1.4817 | Time 183.8034
01:15:24 : Epoch 0001 | Step 0740 / 2968 | Loss 1.4814 | Time 185.0499
01:15:25 : Epoch 0001 | Step 0745 / 2968 | Loss 1.4812 | Time 186.3080
01:15:27 : Epoch 0001 | Step 0750 / 2968 | Loss 1.4813 | Time 187.5623
01:15:28 : Epoch 0001 | Step 0755 / 2968 | Loss 1.4809 | Time 188.8051
01:15:29 : Epoch 0001 | Step 0760 / 2968 | Loss 1.4800 | Time 190.0644
01:15:30 : Epoch 0001 | Step 0765 / 2968 | Loss 1.4794 | Time 191.3057
01:15:32 : Epoch 0001 | Step 0770 / 2968 | Loss 1.4797 | Time 192.5479
01:15:33 : Epoch 0001 | Step 0775 / 2968 | Loss 1.4796 | Time 193.7882
01:15:34 : Epoch 0001 | Step 0780 / 2968 | Loss 1.4792 | Time 195.0225
01:15:35 : Epoch 0001 | Step 0785 / 2968 | Loss 1.4793 | Time 196.2688
01:15:37 : Epoch 0001 | Step 0790 / 2968 | Loss 1.4789 | Time 197.5111
01:15:38 : Epoch 0001 | Step 0795 / 2968 | Loss 1.4785 | Time 198.7649
01:15:39 : Epoch 0001 | Step 0800 / 2968 | Loss 1.4784 | Time 200.0042
01:15:40 : Epoch 0001 | Step 0805 / 2968 | Loss 1.4777 | Time 201.2545
01:15:42 : Epoch 0001 | Step 0810 / 2968 | Loss 1.4775 | Time 202.5032
01:15:43 : Epoch 0001 | Step 0815 / 2968 | Loss 1.4766 | Time 203.7500
01:15:44 : Epoch 0001 | Step 0820 / 2968 | Loss 1.4763 | Time 204.9983
01:15:45 : Epoch 0001 | Step 0825 / 2968 | Loss 1.4760 | Time 206.2366
01:15:47 : Epoch 0001 | Step 0830 / 2968 | Loss 1.4753 | Time 207.4764
01:15:48 : Epoch 0001 | Step 0835 / 2968 | Loss 1.4746 | Time 208.7362
01:15:49 : Epoch 0001 | Step 0840 / 2968 | Loss 1.4739 | Time 209.9844
01:15:50 : Epoch 0001 | Step 0845 / 2968 | Loss 1.4734 | Time 211.2268
01:15:52 : Epoch 0001 | Step 0850 / 2968 | Loss 1.4731 | Time 212.4733
01:15:53 : Epoch 0001 | Step 0855 / 2968 | Loss 1.4726 | Time 213.7211
01:15:54 : Epoch 0001 | Step 0860 / 2968 | Loss 1.4716 | Time 214.9733
01:15:55 : Epoch 0001 | Step 0865 / 2968 | Loss 1.4715 | Time 216.2226
01:15:57 : Epoch 0001 | Step 0870 / 2968 | Loss 1.4715 | Time 217.4665
01:15:58 : Epoch 0001 | Step 0875 / 2968 | Loss 1.4712 | Time 218.7193
01:15:59 : Epoch 0001 | Step 0880 / 2968 | Loss 1.4704 | Time 219.9816
